Customer,Product,Month,Year,Date,Sales,Financial Year
Customer 1,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 1,Product 1,May,2023,01-May-23,0,2023-2024
Customer 1,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 1,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 1,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 1,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 1,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 1,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 1,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 2,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 2,Product 1,May,2023,01-May-23,0,2023-2024
Customer 2,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 2,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 2,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 2,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 2,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 2,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 2,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 3,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 3,Product 1,May,2023,01-May-23,0,2023-2024
Customer 3,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 3,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 3,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 3,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 3,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 3,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 3,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 4,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 4,Product 1,May,2023,01-May-23,0,2023-2024
Customer 4,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 4,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 4,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 4,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 4,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 4,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 4,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 5,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 5,Product 1,May,2023,01-May-23,0,2023-2024
Customer 5,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 5,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 5,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 5,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 5,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 5,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 5,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 6,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 6,Product 1,May,2023,01-May-23,0,2023-2024
Customer 6,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 6,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 6,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 6,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 6,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 6,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 6,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 7,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 7,Product 1,May,2023,01-May-23,0,2023-2024
Customer 7,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 7,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 7,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 7,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 7,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 7,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 7,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 8,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 8,Product 1,May,2023,01-May-23,0,2023-2024
Customer 8,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 8,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 8,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 8,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 8,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 8,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 8,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 9,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 1,May,2023,01-May-23,0,2023-2024
Customer 9,Product 1,June,2023,01-Jun-23,0,2023-2024
